pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editors;translator;translation-editor;translation-reviewer
Andrés Gattinoni;15/03/2018;15/03/2018;0;0;0;0;1;0;0;0;1;0;0
Antonio Jesús Sánchez Padial;29/07/2017;29/07/2017;0;0;0;0;1;0;0;0;0;0;1
Sebastian Fiori;11/12/2020;11/12/2020;0;0;0;0;1;0;0;0;1;0;0
Joshua G. Ortiz Baco;31/10/2018;14/12/2021;3;0;0;0;4;1;0;1;0;1;1
Adriana Cásarez;12/05/2020;12/05/2020;0;0;0;0;1;0;1;0;0;0;0
Juan Cobo;31/07/2017;31/07/2017;0;0;0;0;1;0;0;0;0;0;1
Nicolás Vaughan;27/07/2021;16/11/2021;0;0;0;0;2;2;0;0;0;0;0
Rocío Méndez;27/07/2021;27/07/2021;0;0;0;0;1;0;1;0;0;0;0
Iñaki Cano;27/07/2021;27/07/2021;0;0;0;0;1;0;1;0;0;0;0
David Merino Recalde;16/11/2021;16/11/2021;0;0;0;0;1;0;1;0;0;0;0
Rosa María Muñoz Mendo;16/11/2021;16/11/2021;0;0;0;0;1;0;1;0;0;0;0
María-Jesús Colmenero-Ruiz;17/05/2017;02/06/2018;1;0;0;0;2;0;0;0;2;0;0
Maria Jose Afanador;02/06/2018;02/06/2018;0;0;0;0;1;0;0;0;0;0;1
Anthony Picón Rodríguez;11/07/2020;11/07/2020;0;0;0;0;1;1;0;0;0;0;0
Miguel Cuadros;11/07/2020;11/07/2020;0;0;0;0;1;1;0;0;0;0;0
José Luis Losada;11/07/2020;11/07/2020;0;0;0;0;1;0;1;0;0;0;0
Luisina Silva;17/05/2017;17/05/2017;0;0;0;0;1;0;0;0;0;0;1
Carlos Loz;07/10/2017;07/10/2017;0;0;0;0;1;0;0;0;0;0;1
Alicia Calvo;26/04/2017;26/04/2017;0;0;0;0;1;0;0;0;0;0;1
Gabriel Calarco;01/03/2021;14/12/2021;0;0;0;0;2;1;0;0;1;0;0
Gimena del Río Riande;14/12/2021;14/12/2021;0;0;0;0;1;1;0;0;0;0;0
Melissa Jerome;14/12/2021;14/12/2021;0;0;0;0;1;0;1;0;0;0;0
Aldo Barriente;14/12/2021;14/12/2021;0;0;0;0;1;0;1;0;0;0;0
